file,para,proba,seed,wersja,agent_1,agent_2,num_rounds,architecture,protocol,timestamp,model,seed_meta,agent1_tokens_mean,agent1_tokens_total,agent1_opinion_shift,agent1_lexical_ttr,agent1_nof,agent1_tof,agent1_history_rep_rate,agent2_tokens_mean,agent2_tokens_total,agent2_opinion_shift,agent2_lexical_ttr,agent2_nof,agent2_tof,agent2_history_rep_rate,between_agent_sim_initial,between_agent_sim_final,between_agent_sim_delta,semantic_diversity_overall,redundancy_ratio_mean,consensus_reached,convergence_round,gini_speaking_time,dominant_agent,reciprocal_shift_mean_abs_r,opinion_traj_mono_overall,conv_speed_reached,conv_speed_round,conv_speed_total_delta,agent1_argument_novelty_mean,agent1_hedging_rate,agent1_assertiveness_rate,agent1_net_assertiveness,agent1_claim_grounding_rate,agent1_question_rate,agent1_direct_address_rate,agent1_interaction_rate,agent1_combined_address_rate,agent1_rebuttal_sim,agent1_total_opinion_drift,agent1_turn_length_entropy,agent2_argument_novelty_mean,agent2_hedging_rate,agent2_assertiveness_rate,agent2_net_assertiveness,agent2_claim_grounding_rate,agent2_question_rate,agent2_direct_address_rate,agent2_interaction_rate,agent2_combined_address_rate,agent2_rebuttal_sim,agent2_total_opinion_drift,agent2_turn_length_entropy,r1_between_sim,r1_semantic_diversity,r1_redundancy_ratio,r1_conv_speed_delta,r1_question_rate,r1_agreement_ratio,r1_agent1_tokens,r1_agent1_sentiment,r1_agent1_novelty,r1_agent1_rebuttal_sim,r1_agent2_tokens,r1_agent2_sentiment,r1_agent2_novelty,r1_agent2_rebuttal_sim,r2_between_sim,r2_semantic_diversity,r2_redundancy_ratio,r2_conv_speed_delta,r2_question_rate,r2_agreement_ratio,r2_agent1_tokens,r2_agent1_sentiment,r2_agent1_novelty,r2_agent1_rebuttal_sim,r2_agent2_tokens,r2_agent2_sentiment,r2_agent2_novelty,r2_agent2_rebuttal_sim,r3_between_sim,r3_semantic_diversity,r3_redundancy_ratio,r3_conv_speed_delta,r3_question_rate,r3_agreement_ratio,r3_agent1_tokens,r3_agent1_sentiment,r3_agent1_novelty,r3_agent1_rebuttal_sim,r3_agent2_tokens,r3_agent2_sentiment,r3_agent2_novelty,r3_agent2_rebuttal_sim
O_wysoki-O_niski_1_seed42_v1.json,O_wysoki-O_niski,1,42,1,Otwarty,Rozważny,3,round_robin,consensus,2026-05-30T19:45:53,speakleash/Bielik-1.5B-v3.0-Instruct,42,82.6667,248,0.471,0.7947,1,3,0.3333,54.6667,164,0.8837,0.8655,2,2,0.6667,0.9219,0.2276,-0.6943,0.451,0.3333,True,4,0.1019,Otwarty,1.0,1.0,False,,-0.6943,0.2783,0.0833,0.0833,0.0,0.25,0.0,0.0,1.0,1.0,0.7202,0.471,1.585,0.5048,0.1111,0.1111,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.6453,0.8837,0.9183,0.9219,0.0781,0.0,0.0,0.0,0.0,79,-0.5031,,,75,-0.3851,,0.9219,0.7865,0.2135,1.0,-0.1354,0.0,0.0,116,-0.4455,0.1199,0.8587,84,-0.0975,0.171,0.7865,0.2276,0.7724,0.0,-0.6943,0.0,0.0,53,0.0313,0.4367,0.5816,5,-0.3131,0.8385,0.2276
O_wysoki-O_niski_2_seed256_v1.json,O_wysoki-O_niski,2,256,1,Otwarty,Rozważny,3,round_robin,consensus,2026-05-30T19:50:21,speakleash/Bielik-1.5B-v3.0-Instruct,256,87.6667,263,0.1997,0.7554,2,2,0.3333,86.3333,259,0.5313,0.8278,2,2,0.3333,0.9071,0.5769,-0.3302,0.2854,0.1667,True,1,0.0038,Otwarty,1.0,1.0,False,,-0.3302,0.1724,0.0,0.0,0.0,0.1667,0.0,0.0,0.6667,0.6667,0.8246,0.1997,0.9183,0.3032,0.0,0.1667,0.1667,0.0833,0.0,0.0,0.3333,0.3333,0.7448,0.5313,1.585,0.9071,0.0929,0.0,0.0,0.0,1.0,85,-0.4252,,,90,-0.4514,,0.9071,0.7503,0.2497,0.5,-0.1568,0.0,,96,-0.286,0.1425,0.8437,107,-0.3227,0.2378,0.7503,0.5769,0.4231,0.0,-0.3302,0.0,,82,-0.4207,0.2023,0.8055,62,-0.1443,0.3685,0.5769
